ticker,q_code,name
CDI,YAHOO/TSX_CDI_TO,Canelson Drilling Inc 
CDL,YAHOO/TSX_CDL_A_TO,Corby Distill 
CDL,YAHOO/TSX_CDL_B_TO,Corby Distilleries Ltd. Cl B. Nv 
CDM,YAHOO/TSX_CDM_TO,Coeur D Alene Mines Corp. 
CDU,YAHOO/TSX_CDU_TO,Cardero Resource Corp. 
CDV,YAHOO/TSX_CDV_TO,Com Dev Intl 
CDW,YAHOO/TSX_CDW_UN_TO,Canadian Wireless Trust 
CDZ,YAHOO/TSX_CDZ_A_TO,Claymore Sp TSX Cdn Dividend ETF 
CDZ,YAHOO/TSX_CDZ_TO,Claymore Sp TSX Cdn Dividend ETF 
CEE,YAHOO/TSX_CEE_TO,Centamin Egypt Limited 
CEF,YAHOO/TSX_CEF_A_TO,Central Fund Of Canada Ltd. Cl.A Nv 
CEG,YAHOO/TSX_CEG_TO,Cerro Grande Mining Corporation 
CEK,YAHOO/TSX_CEK_TO,Caspian Energy Inc. 
CEN,YAHOO/TSX_CEN_TO,Coastal Energy Company 
CET,YAHOO/TSX_CET_TO,Cathedral Energy Services Ltd. 
CEU,YAHOO/TSX_CEU_TO,Canadian Energy Svcs And Tech Corp 
CEW,YAHOO/TSX_CEW_A_TO,Claymore Equal Weight Banc & Lifeco Trs 
CEW,YAHOO/TSX_CEW_TO,Claymore Equal Weight Banc & Lifco ETF 
CEZ,YAHOO/TSX_CEZ_TO,Calmena Energy Services Inc. 
CF,YAHOO/TSX_CF_TO,Canaccord Financial Inc. 
CFB,YAHOO/TSX_CFB_TO,Chieftain Metals Inc  Com 
CFF,YAHOO/TSX_CFF_TO,Conifex Timber Inc.
CFG,YAHOO/TSX_CFG_TO,Cluff Gold Plc 
CFN,YAHOO/TSX_CFN_TO,Carfinco Financial Group Inc 
CFP,YAHOO/TSX_CFP_TO,Canfor Corp 
CFT,YAHOO/TSX_CFT_TO,Ce Franklin Ltd Com Npv 
CFW,YAHOO/TSX_CFW_TO,Calfrac Well Services Ltd. 
CFX,YAHOO/TSX_CFX_TO,Canfor Pulp Products Inc. 
CG,YAHOO/TSX_CG_TO,Centerra Gold Inc. 
CGA,YAHOO/TSX_CGA_TO,Cga Mining Limited 
CGG,YAHOO/TSX_CGG_TO,China Gold Int Resources Corp. 
CGI,YAHOO/TSX_CGI_TO,Cdn General Inv 
CGJ,YAHOO/TSX_CGJ_TO,Carlisle Goldfields Limited 
CGL,YAHOO/TSX_CGL_C_TO,Claymore Gold Bullion ETF Non-Hedged 
CGL,YAHOO/TSX_CGL_TO,Claymore Gold Bullion ETF 
CGO,YAHOO/TSX_CGO_TO,Cogeco Inc. Sv 
CGQ,YAHOO/TSX_CGQ_E_TO,Capital Gains Eq 
CGQ,YAHOO/TSX_CGQ_TO,Capital Gains Yld 
CGR,YAHOO/TSX_CGR_A_TO,Claymore Global Real Estate ETF Cl A 
CGR,YAHOO/TSX_CGR_TO,Claymore Global Real Estate ETF 
CGX,YAHOO/TSX_CGX_TO,Cineplex Inc. 
CHB,YAHOO/TSX_CHB_A_TO,Claymore Advantaged HY Bond ETF Adv Cl 
CHB,YAHOO/TSX_CHB_TO,Claymore Advantaged HY Bond ETF 
CHE,YAHOO/TSX_CHE_UN_TO,Chemtrade Logistics Income Fund 
CHH,YAHOO/TSX_CHH_TO,Centric Health Corporation 
CHI,YAHOO/TSX_CHI_A_TO,Claymore China ETF Advisor Class 
CHI,YAHOO/TSX_CHI_TO,Claymore China ETF 
CHL,YAHOO/TSX_CHL_TO,Chaparral Gold Corp.
CHM,YAHOO/TSX_CHM_TO,Champion Minerals Inc 
CHP,YAHOO/TSX_CHP_UN_TO,Choice Properties REIT
CHR,YAHOO/TSX_CHR_A_TO,Chorus Aviation Inc Cl A 
CHR,YAHOO/TSX_CHR_B_TO,Chorus Aviation Inc Cl B 
CHW,YAHOO/TSX_CHW_TO,Chesswood Group Limited 
CIA,YAHOO/TSX_CIA_TO,Champion Iron Limited
CIB,YAHOO/TSX_CIB_TO,Claymore Inverse 10 Yr Govt Bond ETF 
CIC,YAHOO/TSX_CIC_TO,Canbanc Income Corp 
CIE,YAHOO/TSX_CIE_A_TO,Ishares Intl Fundamental Index Fund AC 
CIE,YAHOO/TSX_CIE_TO,Ishares Intl Fundamental Index Fund 
CIF,YAHOO/TSX_CIF_A_TO,Claymore Global Adv Cl 
CIF,YAHOO/TSX_CIF_TO,Claymore Global Infrastructure ETF 
CIP,YAHOO/TSX_CIP_UN_TO,Ci Master Limited Partnership 
CIR,YAHOO/TSX_CIR_TO,Copernican Intl. Fin Split Corp Class A 
CIX,YAHOO/TSX_CIX_TO,Ci Financial Corp. 
CJ,YAHOO/TSX_CJ_TO,Cardinal Energy Ltd.
CJP,YAHOO/TSX_CJP_A_TO,Ishares Japan Fund Idx CAD Hedge AC 
CJP,YAHOO/TSX_CJP_TO,Claymore Japan Fund Idx ETF C$ Hedged 
CJR,YAHOO/TSX_CJR_B_TO,Corus Entertainment Inc. Cl.B Nv 
CJT,YAHOO/TSX_CJT_A_TO,Cargojet Inc. Variable Voting Shs 
CJT,YAHOO/TSX_CJT_TO,Cargojet Inc. 
CKE,YAHOO/TSX_CKE_TO,Chinook Energy Inc. 
CKI,YAHOO/TSX_CKI_TO,Clarke Inc 
CLC,YAHOO/TSX_CLC_TO,Cml Healthcare Inc. 
CLF,YAHOO/TSX_CLF_A_TO,Claymore 1-5 Yr Ladder Gov T Bond ETF A 
CLF,YAHOO/TSX_CLF_TO,Claymore 1-5 Yr Ladder Gov T Bond ETF 
CLG,YAHOO/TSX_CLG_A_TO,Claymore 1-10 Yr Ladder Govt Bond ETF A 
CLG,YAHOO/TSX_CLG_TO,Claymore 1-10 Yr Ladder Govt Bond ETF 
CLK,YAHOO/TSX_CLK_TO,Clublink Enterprises Limited 
CLL,YAHOO/TSX_CLL_TO,Connacher Oil 
CLO,YAHOO/TSX_CLO_A_TO,Claymore Oil Sands Sector Advisor Units 
CLO,YAHOO/TSX_CLO_TO,Claymore Oil Sands Sector Common Units 
CLQ,YAHOO/TSX_CLQ_TO,Canada Lithium Corp 
CLR,YAHOO/TSX_CLR_TO,Clearwater Seafoods Incorporated 
CLS,YAHOO/TSX_CLS_TO,Celestica Inc. Sv 
CLT,YAHOO/TSX_CLT_TO,Celtic Exploration Ltd. 
CLU,YAHOO/TSX_CLU_A_TO,Ishares US Fundamental Index Fund AC 
CLU,YAHOO/TSX_CLU_B_TO,Ishares US Fundamental Index Fund Nh AC 
CLU,YAHOO/TSX_CLU_C_TO,Ishares US Fundamental Index Fund Nh 
CLU,YAHOO/TSX_CLU_TO,Ishares US Fundamental Index Fund 
CM,YAHOO/TSX_CM_TO,Canadian Imperial Bank Of Commerce 
CMF,YAHOO/TSX_CMF_A_TO,Ishares Managed Futures Idx Fd 
CMF,YAHOO/TSX_CMF_TO,Claymore Managed Futures ETF 
CMG,YAHOO/TSX_CMG_TO,Computer Modelling Group Ltd 
CMH,YAHOO/TSX_CMH_TO,Carmanah Technologies Corp. 
CMK,YAHOO/TSX_CMK_TO,Cline Mining Corp 
CML,YAHOO/TSX_CML_TO,Crowflight Minerals Inc 
CMP,YAHOO/TSX_CMP_UN_TO,Cmp Gold Trust Units 
CMR,YAHOO/TSX_CMR_TO,Claymore Premium Money Market ETF 
CMT,YAHOO/TSX_CMT_TO,Compton Petroleum Corporation 
CMW,YAHOO/TSX_CMW_A_TO,Claymore S&P/Tsx Glbl Mining ETF Advsr 
CMW,YAHOO/TSX_CMW_TO,Claymore S&P/Tsx Glbl Mining ETF Common 
CNE,YAHOO/TSX_CNE_TO,Canacol Energy Ltd 
CNJ,YAHOO/TSX_CNJ_TO,Cangene Corp 
CNL,YAHOO/TSX_CNL_TO,Continental Gold Ltd 
CNM,YAHOO/TSX_CNM_UN_TO,Canadian Income Management Trust 
CNQ,YAHOO/TSX_CNQ_TO,Cdn Natural Res 
CNR,YAHOO/TSX_CNR_TO,Canadian National Railway Co. 
COA,YAHOO/TSX_COA_TO,Coastal Contacts Inc. 
COM,YAHOO/TSX_COM_TO,Cardiome Pharma Corp 
COP,YAHOO/TSX_COP_TO,Coro Mining Corp. 
COS,YAHOO/TSX_COS_TO,Canadian Oil Sands Limited 
COW,YAHOO/TSX_COW_A_TO,Claymore Global Agr Etfclass A 
COW,YAHOO/TSX_COW_TO,Claymore Global Agr ETF Commonunits 
COX,YAHOO/TSX_COX_UN_TO,Coxe Commodity Strategy Fund Units 
CP,YAHOO/TSX_CP_TO,Canadian Pacific Railway Limited 
CPD,YAHOO/TSX_CPD_A_TO,Claymore S&P/Tsx Cdn Pref Share ETF Adv 
CPD,YAHOO/TSX_CPD_TO,Claymore S&P/Tsx Cdn Pref Share ETF Com 
CPG,YAHOO/TSX_CPG_TO,Crescent Point Energy Corp. 
CPI,YAHOO/TSX_CPI_TO,Condor Petroleum Inc 
CPM,YAHOO/TSX_CPM_UN_TO,Copernican Int L Premium Dividend Fund 
CPN,YAHOO/TSX_CPN_TO,Carpathian Gold Inc. 
CPT,YAHOO/TSX_CPT_TO,Coalspur Mines Limited 
CPX,YAHOO/TSX_CPX_TO,Capital Power Corporation 
CQE,YAHOO/TSX_CQE_TO,Cequence Energy Ltd. 
CR,YAHOO/TSX_CR_TO,Crew Energy Inc 
CRG,YAHOO/TSX_CRG_TO,Corona Gold Corp 
CRH,YAHOO/TSX_CRH_TO,Crh Medical Corporation 
CRJ,YAHOO/TSX_CRJ_TO,Claude Res 
CRJ,YAHOO/TSX_CRJ_WT_TO,Claude Resources Inc. Wts 
CRK,YAHOO/TSX_CRK_TO,Crocodile Gold Corp 
CRP,YAHOO/TSX_CRP_TO,Ceres Global Ag Corp. 
CRQ,YAHOO/TSX_CRQ_A_TO,Ishares Canadian Fundamental Index Fd AC 
CRQ,YAHOO/TSX_CRQ_TO,Isharescanadian Fundamental Index Fd 
CRR,YAHOO/TSX_CRR_UN_TO,Crombie Real Estate Investment Trust 
CRT,YAHOO/TSX_CRT_UN_TO,CT Real Estate Investment Trust
CRW,YAHOO/TSX_CRW_UN_TO,Cinram International Income Fund 
CRY,YAHOO/TSX_CRY_TO,Cryptologic Inc 
CS,YAHOO/TSX_CS_TO,Capstone Mining Corp. 
CSA,YAHOO/TSX_CSA_TO,Commercial Solutions Inc. 
CSB,YAHOO/TSX_CSB_UN_TO,Canadian Banc Capital Securities Trust
CSD,YAHOO/TSX_CSD_A_TO,Claymore Adv Sh Duration Hi Inc ETF Adv 
CSD,YAHOO/TSX_CSD_TO,Claymore Adv Short Duration Hi Inc ETF 
CSE,YAHOO/TSX_CSE_TO,Capstone Infrastructure Corp 
CSF,YAHOO/TSX_CSF_TO,The Cash Store Financial Services Inc. 
CSH,YAHOO/TSX_CSH_UN_TO,Chartwell Seniors Housing Rl Estate 
CSI,YAHOO/TSX_CSI_TO,Colossus Minerals Inc. 
CSS,YAHOO/TSX_CSS_TO,Contrans Group Inc. 
CSU,YAHOO/TSX_CSU_TO,Constellation Software Inc. 
CSY,YAHOO/TSX_CSY_TO,Can 60 Income Corp 
CTA,YAHOO/TSX_CTA_TO,Crocotta Energy Inc. 
CTC,YAHOO/TSX_CTC_A_TO,Canadian Tire Corporation Cl. A Nv 
CTC,YAHOO/TSX_CTC_TO,Canadian Tire Corporation Limited 
CTU,YAHOO/TSX_CTU_A_TO,Le Chateau Inc. Cl A. Sv 
CTY,YAHOO/TSX_CTY_TO,Calian Technologies Ltd. 
CU,YAHOO/TSX_CU_TO,Canadian Utilities Ltd. Cl.A Nv 
CU,YAHOO/TSX_CU_X_TO,Cdn Util Cl B 
